age,health,Health1,Health2,Health3,Health4,Health5,Death
63,2,0.08009227,0.72922852,0.17212658,0.01425865,0.00188145,0.00241253
63,3,0.01076255,0.16247218,0.68359623,0.12508863,0.01281637,0.00526404
63,4,0.00384866,0.02598149,0.18572031,0.66528854,0.10471616,0.01444483
63,5,0.00002925,0.00475920,0.02566958,0.21055820,0.69989892,0.05908485
63,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.71481549,0.24180384,0.03263826,0.00530806,0.00225604,0.00317832
64,2,0.07880627,0.72675496,0.17459139,0.01500710,0.00210732,0.00273296
64,3,0.01066380,0.16102205,0.68258705,0.12658079,0.01326329,0.00588302
64,4,0.00390578,0.02598034,0.18407270,0.66405285,0.10614725,0.01584109
64,5,0.00003600,0.00485348,0.02633493,0.20890769,0.69689593,0.06297198
64,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.70989265,0.24431198,0.03401837,0.00577428,0.00246899,0.00353373
65,2,0.07752745,0.72416400,0.17706075,0.01579208,0.00235990,0.00309582
65,3,0.01056467,0.15956541,0.68149633,0.12807515,0.01372412,0.00657432
65,4,0.00396306,0.02597469,0.18240816,0.66270486,0.10757930,0.01736993
65,5,0.00004428,0.00494812,0.02700930,0.20720703,0.69369466,0.06709660
65,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.70484880,0.24679190,0.03544905,0.00628007,0.00270146,0.00392872
66,2,0.07625529,0.72144888,0.17953183,0.01661505,0.00264226,0.00350669
66,3,0.01046509,0.15810123,0.68031817,0.12957016,0.01419911,0.00734624
66,4,0.00402043,0.02596421,0.18072503,0.66123650,0.10901037,0.01904346
66,5,0.00005445,0.00504298,0.02769203,0.20545404,0.69028572,0.07147079
66,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.69967823,0.24923908,0.03693131,0.00682857,0.00295513,0.00436767
67,2,0.07498920,0.71860215,0.18200149,0.01747746,0.00295783,0.00397187
67,3,0.01036498,0.15662834,0.67904607,0.13106410,0.01468845,0.00820805
67,4,0.00407782,0.02594852,0.17902150,0.65963903,0.11043831,0.02087481
67,5,0.00006693,0.00513791,0.02838233,0.20364646,0.68665949,0.07610687
67,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.69437484,0.25164865,0.03846610,0.00742316,0.00323182,0.00485543
68,2,0.07372858,0.71561561,0.18446618,0.01838076,0.00331038,0.00449848
68,3,0.01026427,0.15514548,0.67767286,0.13255502,0.01519234,0.00917002
68,4,0.00413513,0.02592724,0.17729567,0.65790304,0.11186076,0.02287816
68,5,0.00008225,0.00523274,0.02907937,0.20178205,0.68280616,0.08101743
68,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.68893215,0.25401534,0.04005424,0.00806742,0.00353350,0.00539736
69,2,0.07247274,0.71248025,0.18692196,0.01932637,0.00370412,0.00509456
69,3,0.01016285,0.15365126,0.67619064,0.13404075,0.01571092,0.01024358
69,4,0.00419227,0.02589992,0.17554547,0.65601841,0.11327507,0.02506886
69,5,0.00010103,0.00532729,0.02978216,0.19985852,0.67871572,0.08621527
69,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.68334329,0.25633344,0.04169642,0.00876516,0.00386227,0.00599942
70,2,0.07122098,0.70918613,0.18936436,0.02031568,0.00414368,0.00576916
70,3,0.01006063,0.15214416,0.67459073,0.13551883,0.01624428,0.01144137
70,4,0.00424913,0.02586611,0.17376873,0.65397426,0.11467834,0.02746343
70,5,0.00012405,0.00542137,0.03048966,0.19787358,0.67437803,0.09171331
70,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
71,1,0.67760094,0.25859682,0.04339319,0.00952047,0.00422040,0.00666818
71,2,0.06997249,0.70572233,0.19178843,0.02135005,0.00463420,0.00653250
71,3,0.00995750,0.15062251,0.67286357,0.13698654,0.01679249,0.01277740
71,4,0.00430558,0.02582531,0.17196313,0.65175893,0.11606738,0.03007966
71,5,0.00015225,0.00551475,0.03120068,0.19582496,0.66978281,0.09752455
71,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
72,1,0.67169736,0.26079885,0.04514494,0.01033763,0.00461029,0.00741093
72,2,0.06872646,0.70207682,0.19418860,0.02243073,0.00518131,0.00739609
72,3,0.00985333,0.14908448,0.67099867,0.13844080,0.01735551,0.01426720
72,4,0.00436150,0.02577698,0.17012621,0.64935994,0.11743867,0.03293669
72,5,0.00018678,0.00560723,0.03191391,0.19371039,0.66491972,0.10366198
72,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.66562433,0.26293238,0.04695182,0.01122122,0.00503453,0.00823573
73,2,0.06748195,0.69823641,0.19655863,0.02355890,0.00579123,0.00837289
73,3,0.00974801,0.14752811,0.66898449,0.13987822,0.01793328,0.01592790
73,4,0.00441674,0.02572056,0.16825536,0.64676397,0.11878836,0.03605500
73,5,0.00022903,0.00569854,0.03262795,0.19152762,0.65977836,0.11013851
73,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.65937317,0.26498970,0.04881376,0.01217602,0.00549587,0.00915148
74,2,0.06623799,0.69418658,0.19889156,0.02473560,0.00647081,0.00947746
74,3,0.00964139,0.14595122,0.66680840,0.14129497,0.01852561,0.01777842
74,4,0.00447114,0.02565544,0.16634786,0.64395683,0.12011224,0.03945649
74,5,0.00028069,0.00578844,0.03334122,0.18927445,0.65434833,0.11696687
74,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
75,1,0.65293471,0.26696254,0.05073043,0.01320708,0.00599722,0.01016801
75,2,0.06499353,0.68991143,0.20117964,0.02596171,0.00722753,0.01072617
75,3,0.00953330,0.14435147,0.66445658,0.14268681,0.01913224,0.01983960
75,4,0.00452453,0.02558097,0.16440083,0.64092345,0.12140571,0.04316451
75,5,0.00034383,0.00587664,0.03405204,0.18694872,0.64861926,0.12415952
75,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
76,1,0.64629928,0.26884199,0.05270117,0.01431970,0.00654168,0.01129617
76,2,0.06374742,0.68539354,0.20341418,0.02723791,0.00806958,0.01213738
76,3,0.00942360,0.14272631,0.66191391,0.14404902,0.01975280,0.02213436
76,4,0.00457672,0.02549645,0.16241127,0.63764790,0.12266378,0.04720388
76,5,0.00042094,0.00596284,0.03475857,0.18454832,0.64258085,0.13172848
76,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
77,1,0.63945674,0.27061847,0.05472498,0.01551939,0.00713251,0.01254791
77,2,0.06249844,0.68061386,0.20558553,0.02856461,0.00900587,0.01373169
77,3,0.00931209,0.14107300,0.65916392,0.14537637,0.02038677,0.02468787
77,4,0.00462750,0.02540118,0.16037605,0.63411339,0.12388102,0.05160087
77,5,0.00051503,0.00604675,0.03545882,0.18207121,0.63622293,0.13968526
77,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
78,1,0.63239642,0.27228174,0.05680043,0.01681187,0.00777313,0.01393641
78,2,0.06124530,0.67555161,0.20768293,0.02994193,0.01004609,0.01553213
78,3,0.00919858,0.13938856,0.65618866,0.14666305,0.02103350,0.02752766
78,4,0.00467664,0.02529437,0.15829195,0.63030227,0.12505157,0.05638320
78,5,0.00062976,0.00612801,0.03615064,0.17951544,0.62953544,0.14804072
78,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.62510719,0.27382082,0.05892567,0.01820306,0.00846713,0.01547614
79,2,0.05998660,0.67018415,0.20969446,0.03136961,0.01120075,0.01756444
79,3,0.00908287,0.13766981,0.65296870,0.14790264,0.02169217,0.03068383
