age,health,Health1,Health2,Health3,Health4,Health5,Death
63,2,0.08124798,0.63521722,0.22825903,0.04487224,0.00347290,0.00693064
63,3,0.01882410,0.14256755,0.65650419,0.15500893,0.01261165,0.01448358
63,4,0.01056144,0.03052726,0.16997533,0.65247961,0.10285422,0.03360213
63,5,0.00210995,0.02688694,0.01501723,0.22966877,0.63736837,0.08894874
63,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.61282109,0.25869140,0.07330786,0.03751229,0.00742251,0.01024485
64,2,0.08035396,0.63332670,0.22727034,0.04744077,0.00398639,0.00762185
64,3,0.01886782,0.14168807,0.65432905,0.15570562,0.01344985,0.01595958
64,4,0.01042202,0.03146785,0.16780090,0.65161711,0.10265103,0.03604108
64,5,0.00235215,0.02561012,0.01553799,0.22647478,0.63673781,0.09328716
64,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.60632523,0.26155480,0.07399009,0.03882074,0.00826105,0.01104809
65,2,0.07944485,0.63124379,0.22621497,0.05014060,0.00457436,0.00838143
65,3,0.01890742,0.14078259,0.65201557,0.15637054,0.01434056,0.01758332
65,4,0.01028198,0.03242966,0.16561464,0.65060001,0.10242373,0.03864997
65,5,0.00262116,0.02438472,0.01607074,0.22324097,0.63586794,0.09781447
65,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.59971038,0.26436709,0.07465529,0.04016225,0.00919144,0.01191355
66,2,0.07851929,0.62895354,0.22508785,0.05297604,0.00524727,0.00921600
66,3,0.01894251,0.13984898,0.64955274,0.15700022,0.01528655,0.01936901
66,4,0.01014126,0.03341241,0.16341551,0.64942015,0.10217108,0.04143960
66,5,0.00291980,0.02320891,0.01661528,0.21996758,0.63475179,0.10253664
66,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.59297162,0.26712129,0.07530156,0.04153638,0.01022324,0.01284592
67,2,0.07757581,0.62643980,0.22388350,0.05595112,0.00601694,0.01013282
67,3,0.01897267,0.13888496,0.64692872,0.15759091,0.01629064,0.02133210
67,4,0.00999978,0.03441573,0.16120245,0.64806900,0.10189178,0.04442126
67,5,0.00325115,0.02208089,0.01717134,0.21665482,0.63338216,0.10745964
67,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.58610364,0.26980984,0.07592689,0.04294251,0.01136689,0.01385023
68,2,0.07661283,0.62368509,0.22259601,0.05906950,0.00689674,0.01113982
