age,health,Health1,Health2,Health3,Health4,Health5,Death
63,2,0.08616354,0.70869714,0.17845376,0.02016054,0.00236432,0.00416069
63,3,0.01268466,0.15916036,0.67989241,0.12397550,0.01434892,0.00993815
63,4,0.00583333,0.02322622,0.20322374,0.63785378,0.10120715,0.02865579
63,5,0.00366121,0.00537791,0.02747633,0.19414960,0.67551716,0.09381779
63,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
64,1,0.68678350,0.25062533,0.04359815,0.01102876,0.00372974,0.00423452
64,2,0.08480274,0.70613764,0.18097334,0.02080320,0.00261831,0.00466476
64,3,0.01263347,0.15751966,0.67780153,0.12631493,0.01478373,0.01094669
64,4,0.00587926,0.02328192,0.20117977,0.63630949,0.10264582,0.03070373
64,5,0.00341105,0.00546580,0.02780764,0.19155461,0.67219878,0.09956211
64,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
65,1,0.68397052,0.25110634,0.04467074,0.01157244,0.00392933,0.00475064
65,2,0.08344877,0.70346375,0.18349625,0.02146256,0.00289909,0.00522958
65,3,0.01258017,0.15586716,0.67559263,0.12867480,0.01522890,0.01205633
65,4,0.00592442,0.02333326,0.19911794,0.63464646,0.10408485,0.03289307
65,5,0.00317661,0.00555274,0.02813087,0.18891316,0.66860946,0.10561715
65,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
66,1,0.68107396,0.25155315,0.04576333,0.01214123,0.00413902,0.00532932
66,2,0.08210106,0.70066895,0.18601954,0.02213869,0.00320938,0.00586238
66,3,0.01252464,0.15420181,0.67325909,0.13105311,0.01568441,0.01327694
66,4,0.00596871,0.02337994,0.19703709,0.63285885,0.10552256,0.03523284
66,5,0.00295696,0.00563853,0.02844505,0.18622439,0.66474041,0.11199464
66,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
67,1,0.67808803,0.25196299,0.04687561,0.01273606,0.00435925,0.00597807
67,2,0.08075901,0.69774609,0.18853992,0.02283156,0.00355216,0.00657125
67,3,0.01246676,0.15252244,0.67079376,0.13344754,0.01615018,0.01461931
67,4,0.00601204,0.02342168,0.19493606,0.63094055,0.10695712,0.03773256
67,5,0.00275120,0.00572296,0.02874923,0.18348756,0.66058294,0.11870612
67,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
68,1,0.67500639,0.25233282,0.04800719,0.01335788,0.00459045,0.00670526
68,2,0.07942196,0.69468730,0.19105372,0.02354110,0.00393072,0.00736520
68,3,0.01240639,0.15082785,0.66818896,0.13585554,0.01662609,0.01609517
68,4,0.00605430,0.02345816,0.19281362,0.62888516,0.10838656,0.04040220
68,5,0.00255850,0.00580579,0.02904236,0.18070201,0.65612852,0.12576282
68,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
69,1,0.67182215,0.25265934,0.04915756,0.01400762,0.00483308,0.00752024
69,2,0.07808921,0.69148393,0.19355680,0.02426714,0.00434863,0.00825428
69,3,0.01234338,0.14911671,0.66543642,0.13827418,0.01711195,0.01771736
69,4,0.00609540,0.02348906,0.19066852,0.62668605,0.10980874,0.04325224
69,5,0.00237808,0.00588679,0.02932338,0.17786721,0.65136891,0.13317564
69,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
70,1,0.66852776,0.25293893,0.05032607,0.01468623,0.00508758,0.00843343
70,2,0.07675999,0.68812650,0.19604459,0.02500944,0.00480980,0.00924968
70,3,0.01227758,0.14738762,0.66252724,0.14070021,0.01760756,0.01949980
70,4,0.00613522,0.02351404,0.18849947,0.62433628,0.11122137,0.04629362
70,5,0.00220919,0.00596571,0.02959121,0.17498276,0.64629620,0.14095494
70,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
71,1,0.66511499,0.25316762,0.05151193,0.01539459,0.00535441,0.00945646
71,2,0.07543348,0.68460462,0.19851193,0.02576764,0.00531846,0.01036387
71,3,0.01220882,0.14563907,0.65945190,0.14312997,0.01811260,0.02145764
71,4,0.00617365,0.02353274,0.18630517,0.62182866,0.11262199,0.04953779
71,5,0.00205114,0.00604229,0.02984472,0.17204843,0.64090294,0.14911049
71,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
72,1,0.66157487,0.25334108,0.05271421,0.01613359,0.00563399,0.01060226
72,2,0.07410879,0.68090689,0.20095312,0.02654127,0.00587925,0.01161069
72,3,0.01213692,0.14386946,0.65620017,0.14555941,0.01862672,0.02360732
72,4,0.00621056,0.02354478,0.18408428,0.61915575,0.11400796,0.05299667
72,5,0.00190328,0.00611627,0.03008276,0.16906416,0.63518221,0.15765131
72,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
73,1,0.65789763,0.25345457,0.05393175,0.01690406,0.00592676,0.01188523
73,2,0.07278497,0.67702085,0.20336176,0.02732971,0.00649716,0.01300555
73,3,0.01206168,0.14207709,0.65276113,0.14798398,0.01914947,0.02596665
73,4,0.00624582,0.02354979,0.18183543,0.61630986,0.11537645,0.05668266
73,5,0.00176500,0.00618737,0.03030417,0.16603012,0.62912777,0.16658557
73,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
74,1,0.65407259,0.25350290,0.05516324,0.01770677,0.00623315,0.01332136
