age,health,Health1,Health2,Health3,Death
78,2,0.14242960,0.60806044,0.19042525,0.05908471
78,3,0.04412943,0.09647376,0.73637609,0.12302072
78,0,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.67201717,0.17366596,0.12405763,0.03025923
79,2,0.14098338,0.60234981,0.19157058,0.06509623
79,3,0.04437489,0.09493476,0.73075885,0.12993150
79,0,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.66346964,0.17237390,0.13113195,0.03302451
80,2,0.13945566,0.59628156,0.19258997,0.07167281
80,3,0.04460123,0.09337743,0.72485156,0.13716977
80,0,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.65451137,0.17095577,0.13849975,0.03603311
81,2,0.13784103,0.58983166,0.19346955,0.07885776
81,3,0.04480722,0.09180158,0.71864701,0.14474420
81,0,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.64513043,0.16940655,0.14615836,0.03930465
82,2,0.13613396,0.58297568,0.19419464,0.08669571
82,3,0.04499159,0.09020708,0.71213846,0.15266287
82,0,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.63531589,0.16772141,0.15410268,0.04286002
83,2,0.13432896,0.57568906,0.19474981,0.09523217
83,3,0.04515310,0.08859391,0.70531975,0.16093324
83,0,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.62505801,0.16589574,0.16232490,0.04672135
84,2,0.13242058,0.56794747,0.19511897,0.10451298
84,3,0.04529047,0.08696215,0.69818538,0.16956200
84,0,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.61434850,0.16392524,0.17081420,0.05091206
85,2,0.13040354,0.55972725,0.19528551,0.11458370
85,3,0.04540246,0.08531195,0.69073064,0.17855495
85,0,0.00000000,0.00000000,0.00000000,1.00000000
86,1,0.60318077,0.16180600,0.17955644,0.05545679
86,2,0.12827286,0.55100584,0.19523246,0.12548883
86,3,0.04548783,0.08364361,0.68295164,0.18791692
86,0,0.00000000,0.00000000,0.00000000,1.00000000
87,1,0.59155015,0.15953457,0.18853388,0.06038140
87,2,0.12602395,0.54176243,0.19494270,0.13727092
87,3,0.04554536,0.08195752,0.67484546,0.19765166
87,0,0.00000000,0.00000000,0.00000000,1.00000000
88,1,0.57945418,0.15710806,0.19772487,0.06571289
88,2,0.12365279,0.53197850,0.19439918,0.14996952
88,3,0.04557388,0.08025421,0.66641024,0.20776166
88,0,0.00000000,0.00000000,0.00000000,1.00000000
89,1,0.56689292,0.15452420,0.20710356,0.07147932
89,2,0.12115608,0.52163860,0.19358528,0.16362005
89,3,0.04557227,0.07853433,0.65764527,0.21824814
89,0,0.00000000,0.00000000,0.00000000,1.00000000
90,1,0.55386914,0.15178147,0.21663970,0.07770969
90,2,0.11853138,0.51073101,0.19248509,0.17825252
90,3,0.04553944,0.07679866,0.64855106,0.22911083
90,0,0.00000000,0.00000000,0.00000000,1.00000000
91,1,0.54038870,0.14887918,0.22629839,0.08443373
91,2,0.11577735,0.49924859,0.19108385,0.19389021
91,3,0.04547440,0.07504815,0.63912948,0.24034797
91,0,0.00000000,0.00000000,0.00000000,1.00000000
92,1,0.52646074,0.14581755,0.23603996,0.09168174
92,2,0.11289387,0.48718954,0.18936833,0.21054826
92,3,0.04537621,0.07328387,0.62938381,0.25195611
92,0,0.00000000,0.00000000,0.00000000,1.00000000
93,1,0.51209796,0.14259785,0.24581984,0.09948435
93,2,0.10988223,0.47455817,0.18732731,0.22823229
93,3,0.04524406,0.07150703,0.61931881,0.26393010
93,0,0.00000000,0.00000000,0.00000000,1.00000000
94,1,0.49731687,0.13922244,0.25558857,0.10787213
94,2,0.10674533,0.46136562,0.18495204,0.24693701
94,3,0.04507720,0.06971901,0.60894080,0.27626299
94,0,0.00000000,0.00000000,0.00000000,1.00000000
95,1,0.48213795,0.13569489,0.26529184,0.11687532
95,2,0.10348776,0.44763051,0.18223670,0.26664503
95,3,0.04487503,0.06792132,0.59825770,0.28894595
95,0,0.00000000,0.00000000,0.00000000,1.00000000
96,1,0.46658587,0.13202004,0.27487073,0.12652337
96,2,0.10011593,0.43337941,0.17917882,0.28732583
96,3,0.04463706,0.06611561,0.58727910,0.30196823
96,0,0.00000000,0.00000000,0.00000000,1.00000000
97,1,0.45068953,0.12820408,0.28426194,0.13684445
97,2,0.09663817,0.41864717,0.17577974,0.30893492
97,3,0.04436294,0.06430369,0.57601624,0.31531714
97,0,0.00000000,0.00000000,0.00000000,1.00000000
98,1,0.43448218,0.12425460,0.29339828,0.14786494
98,2,0.09306470,0.40347701,0.17204487,0.33141343
98,3,0.04405247,0.06248747,0.56448202,0.32897804
98,0,0.00000000,0.00000000,0.00000000,1.00000000
99,1,0.41800139,0.12018059,0.30220919,0.15960883
99,2,0.08940760,0.38792040,0.16798395,0.35468805
99,3,0.04370560,0.06066901,0.55269103,0.34293436
99,0,0.00000000,0.00000000,0.00000000,1.00000000
