age,health,Health1,Health2,Health3,Death
78,2,0.14495086,0.66386342,0.16512967,0.02605604
78,3,0.02245740,0.11412562,0.77428355,0.08913343
78,0,0.00000000,0.00000000,0.00000000,1.00000000
79,1,0.77060995,0.17256850,0.04004288,0.01677867
79,2,0.14320701,0.66055045,0.16705702,0.02918552
79,3,0.02243689,0.11272580,0.76909750,0.09573980
79,0,0.00000000,0.00000000,0.00000000,1.00000000
80,1,0.76297844,0.17542818,0.04272319,0.01887020
80,2,0.14142225,0.65696654,0.16893294,0.03267827
80,3,0.02240426,0.11128284,0.76353233,0.10278057
80,0,0.00000000,0.00000000,0.00000000,1.00000000
81,1,0.75499250,0.17823373,0.04555696,0.02121681
81,2,0.13959236,0.65308687,0.17074752,0.03657326
81,3,0.02235876,0.10979499,0.75757026,0.11027599
81,0,0.00000000,0.00000000,0.00000000,1.00000000
82,1,0.74663036,0.18097270,0.04854880,0.02384814
82,2,0.13771281,0.64888459,0.17248974,0.04091286
82,3,0.02229968,0.10826059,0.75119375,0.11824597
82,0,0.00000000,0.00000000,0.00000000,1.00000000
83,1,0.73786908,0.18363138,0.05170266,0.02679688
83,2,0.13577881,0.64433083,0.17414743,0.04574293
83,3,0.02222626,0.10667810,0.74438569,0.12670994
83,0,0.00000000,0.00000000,0.00000000,1.00000000
84,1,0.72868461,0.18619472,0.05502168,0.03009898
84,2,0.13378528,0.63939469,0.17570719,0.05111284
84,3,0.02213778,0.10504610,0.73712959,0.13568652
84,0,0.00000000,0.00000000,0.00000000,1.00000000
85,1,0.71905190,0.18864625,0.05850800,0.03379386
85,2,0.13172689,0.63404333,0.17715434,0.05707544
85,3,0.02203351,0.10336334,0.72940984,0.14519331
85,0,0.00000000,0.00000000,0.00000000,1.00000000
86,1,0.70894495,0.19096801,0.06216246,0.03792457
86,2,0.12959813,0.62824207,0.17847288,0.06368692
86,3,0.02191274,0.10162877,0.72121195,0.15524654
86,0,0.00000000,0.00000000,0.00000000,1.00000000
87,1,0.69833708,0.19314052,0.06598444,0.04253797
87,2,0.12739331,0.62195463,0.17964547,0.07100658
87,3,0.02177481,0.09984157,0.71252283,0.16586079
87,0,0.00000000,0.00000000,0.00000000,1.00000000
88,1,0.68720109,0.19514269,0.06997146,0.04768475
88,2,0.12510668,0.61514341,0.18065346,0.07909645
88,3,0.02161908,0.09800117,0.70333110,0.17704865
88,0,0.00000000,0.00000000,0.00000000,1.00000000
89,1,0.67550962,0.19695190,0.07411897,0.05341952
89,2,0.12273248,0.60776990,0.18147695,0.08802067
89,3,0.02144497,0.09610732,0.69362737,0.18882034
89,0,0.00000000,0.00000000,0.00000000,1.00000000
90,1,0.66323552,0.19854391,0.07841991,0.05980066
90,2,0.12026509,0.59979526,0.18209485,0.09784480
90,3,0.02125195,0.09416011,0.68340456,0.20118337
90,0,0.00000000,0.00000000,0.00000000,1.00000000
91,1,0.65035237,0.19989305,0.08286440,0.06689018
91,2,0.11769911,0.59118097,0.18248511,0.10863481
91,3,0.02103959,0.09215998,0.67265824,0.21414219
91,0,0.00000000,0.00000000,0.00000000,1.00000000
92,1,0.63683504,0.20097225,0.08743935,0.07475336
92,2,0.11502960,0.58188967,0.18262490,0.12045583
92,3,0.02080751,0.09010779,0.66138691,0.22769778
92,0,0.00000000,0.00000000,0.00000000,1.00000000
93,1,0.62266044,0.20175328,0.09212806,0.08345822
93,2,0.11225218,0.57188620,0.18249094,0.13337069
93,3,0.02055546,0.08800482,0.64959232,0.24184739
93,0,0.00000000,0.00000000,0.00000000,1.00000000
94,1,0.60780837,0.20220699,0.09690988,0.09307476
